PN,ATA,ALT_KATEGORI,AILE,MODEL,KRITIKLIK,ATOLYE,TEMIN_KANALI,LEAD_TIME_GUN,TALEP_2025,CEYREK_ORAN_2025_SBA,FILO_BUYUME_KATSAYISI,TALEP_2033_YILLIK,SERVIS_SEVIYESI_HEDEF,EMNIYET_STOGU,MIN_2025,MAX_2025,MIN_2033,MAX_2033,SCRAP_ORANI,SCRAP_2033_YILLIK,AOG_RISK_SKORU,ALARM_2033
PN-101932,74,IGNITION,BOEING,737 MAX 8,KRİTİK DEĞİL,YOK,Yurtdışı tamir,17.0,6,1.39,3.81,20.3,0.9,2.0,2.0,4.0,3.0,9.0,0.167,3.4,42.5,False
PN-104916,23,COMMUNICATIONS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,29.0,31,7.75,2.59,79.6,0.9,4.0,6.0,14.0,11.0,31.0,0.226,18.0,42.5,False
PN-100578,77,ENGINE INDICATING,AIRBUS,A350-900,KRİTİK DEĞİL,YOK,Satınalma,21.0,4,0.97,3.75,14.5,0.9,2.0,2.0,3.0,3.0,7.0,0.0,0.0,42.5,False
PN-103456,72,ENGINE,AIRBUS,A330-300,AOG KRİTİK,VAR,Yurtiçi tamir,15.0,35,8.75,1.11,38.2,0.98,3.0,5.0,14.0,5.0,15.0,0.143,5.5,42.5,False
PN-103012,22,AUTO FLIGHT,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,43.0,4,1.27,2.96,14.4,0.9,2.0,2.0,4.0,4.0,8.0,0.0,0.0,42.5,False
PN-101978,22,AUTO FLIGHT,BOEING,737 MAX 8,KRİTİK DEĞİL,YOK,Satınalma,21.0,3,0.65,3.81,9.6,0.9,1.0,2.0,3.0,2.0,5.0,0.333,3.2,42.5,False
PN-101637,52,DOORS,BOEING,737 MAX 8,KRİTİK,VAR,Yurtiçi tamir,4.0,3,0.85,3.81,13.3,0.95,1.0,2.0,3.0,2.0,6.0,0.0,0.0,42.5,False
PN-101294,79,OIL,AIRBUS,A330-300,KRİTİK,YOK,Yurtdışı tamir,44.0,2,0.53,1.11,2.3,0.95,1.0,2.0,3.0,2.0,3.0,0.5,1.1,42.5,False
PN-100743,28,FUEL,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,37.0,43,10.75,0.69,29.1,0.95,3.0,9.0,20.0,6.0,14.0,0.116,3.4,42.4,False
PN-104994,52,DOORS,BOEING,777-300ER,KRİTİK,YOK,Satınalma,21.0,13,3.25,1.67,21.6,0.95,2.0,3.0,7.0,4.0,10.0,0.385,8.3,42.4,False
PN-104939,29,HYDRAULIC POWER,BOEING,777-300ER,AOG KRİTİK,VAR,Yurtiçi tamir,10.0,6,1.47,1.67,9.6,0.98,2.0,2.0,4.0,3.0,6.0,0.0,0.0,42.4,False
PN-101949,29,HYDRAULIC POWER,AIRBUS,A319-100,AOG KRİTİK,VAR,Yurtiçi tamir,8.0,118,29.5,0.56,64.3,0.98,3.0,7.0,37.0,5.0,22.0,0.068,4.4,42.4,False
PN-102569,79,OIL,AIRBUS,A330-200,KRİTİK,YOK,Yurtdışı tamir,31.0,15,3.75,1.33,19.7,0.95,3.0,4.0,8.0,5.0,10.0,0.133,2.6,42.4,False
PN-101246,76,ENGINE CONTROLS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,43.0,16,4.0,2.59,40.7,0.9,3.0,4.0,8.0,8.0,19.0,0.0,0.0,42.4,False
PN-104854,22,AUTO FLIGHT,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,36.0,11,2.75,2.96,31.3,0.9,3.0,4.0,7.0,7.0,15.0,0.091,2.8,42.4,False
PN-102392,52,DOORS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,45.0,2,0.65,2.96,7.4,0.9,2.0,2.0,3.0,3.0,5.0,0.0,0.0,42.4,False
PN-103074,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,40.0,30,7.5,0.69,20.2,0.95,3.0,7.0,15.0,6.0,12.0,0.233,4.7,42.4,False
PN-100044,22,AUTO FLIGHT,AIRBUS,A330-200,AOG KRİTİK,VAR,Yurtiçi tamir,11.0,24,6.0,1.33,31.7,0.98,3.0,3.0,9.0,4.0,12.0,0.042,1.3,42.4,False
PN-102476,35,OXYGEN,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,29.0,17,4.25,2.96,50.2,0.9,3.0,4.0,9.0,7.0,20.0,0.176,8.9,42.4,False
PN-100938,34,NAVIGATION,AIRBUS,A319-100,KRİTİK,YOK,Yurtdışı tamir,43.0,23,5.75,0.56,12.3,0.95,2.0,6.0,12.0,4.0,8.0,0.087,1.1,42.4,False
PN-100351,22,AUTO FLIGHT,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,39.0,9,2.0,2.96,23.3,0.9,3.0,3.0,5.0,6.0,12.0,0.222,5.2,42.4,True
PN-103451,22,AUTO FLIGHT,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,27.0,19,4.75,2.96,55.5,0.9,3.0,4.0,9.0,8.0,22.0,0.053,2.9,42.4,False
PN-100958,80,STARTING,AIRBUS,A319-100,KRİTİK,YOK,Yurtdışı tamir,43.0,23,5.75,0.56,12.7,0.95,3.0,6.0,12.0,5.0,9.0,0.0,0.0,42.4,False
PN-104356,80,STARTING,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,21.0,39,9.75,2.59,100.3,0.9,4.0,5.0,15.0,10.0,36.0,0.128,12.9,42.4,False
PN-102639,76,ENGINE CONTROLS,BOEING,737 MAX 8,KRİTİK DEĞİL,YOK,Satınalma,24.0,0,0.0,3.81,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.4,False
PN-103921,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A330-200,KRİTİK,YOK,Satınalma,32.0,12,3.0,1.33,15.8,0.95,2.0,4.0,7.0,4.0,8.0,0.083,1.3,42.3,False
PN-100727,23,COMMUNICATIONS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,30.0,29,7.25,2.59,74.1,0.9,4.0,5.0,13.0,11.0,30.0,0.103,7.7,42.3,False
PN-101415,73,ENGINE FUEL AND CONTROL,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,40.0,28,7.0,0.69,19.1,0.95,3.0,7.0,14.0,6.0,11.0,0.143,2.7,42.3,False
PN-104973,73,ENGINE FUEL AND CONTROL,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,27.0,19,4.75,2.96,55.3,0.9,3.0,4.0,9.0,8.0,22.0,0.0,0.0,42.3,False
PN-103879,22,AUTO FLIGHT,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,42.0,5,1.25,2.96,14.2,0.9,2.0,2.0,4.0,4.0,8.0,0.2,2.8,42.3,False
PN-100592,27,FLIGHT CONTROLS,BOEING,737 MAX 8,KRİTİK DEĞİL,YOK,Satınalma,20.0,3,0.65,3.81,9.8,0.9,1.0,2.0,3.0,2.0,5.0,0.0,0.0,42.3,False
PN-100903,76,ENGINE CONTROLS,BOEING,777-300ER,KRİTİK,YOK,Satınalma,15.0,23,5.75,1.67,37.1,0.95,3.0,3.0,9.0,5.0,15.0,0.0,0.0,42.3,False
PN-103139,34,NAVIGATION,AIRBUS,A330-300,KRİTİK,YOK,Yurtdışı tamir,37.0,18,4.5,1.11,19.6,0.95,3.0,5.0,10.0,5.0,10.0,0.0,0.0,42.3,False
PN-102989,32,LANDING GEAR,BOEING,737-800,KRİTİK,YOK,Satınalma,45.0,12,3.0,0.56,6.6,0.95,2.0,5.0,8.0,3.0,5.0,0.0,0.0,42.3,False
PN-102838,26,FIRE PROTECTION,BOEING,737 MAX 8,KRİTİK DEĞİL,YOK,Satınalma,10.0,10,2.5,3.81,37.4,0.9,2.0,2.0,5.0,4.0,14.0,0.0,0.0,42.3,False
PN-102734,32,LANDING GEAR,BOEING,737-800,KRİTİK,YOK,Satınalma,39.0,40,10.0,0.56,22.1,0.95,3.0,9.0,19.0,6.0,12.0,0.225,5.0,42.3,False
PN-102201,21,AIR CONDITIONING,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,10.0,20,5.0,2.96,58.3,0.95,3.0,3.0,8.0,5.0,20.0,0.2,11.7,42.3,False
PN-100131,36,PNEUMATIC,AIRBUS,A330-200,KRİTİK,YOK,Yurtdışı tamir,26.0,24,6.0,1.33,31.2,0.95,3.0,5.0,11.0,6.0,14.0,0.125,3.9,42.2,False
PN-102709,76,ENGINE CONTROLS,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,38.0,38,9.5,0.64,24.1,0.95,3.0,8.0,18.0,6.0,13.0,0.158,3.8,42.2,False
PN-104116,21,AIR CONDITIONING,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,28.0,18,4.5,2.96,51.6,0.9,3.0,4.0,9.0,7.0,20.0,0.167,8.6,42.2,False
PN-101044,71,POWER PLANT,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,43.0,16,4.0,0.69,10.9,0.95,2.0,5.0,9.0,4.0,7.0,0.062,0.7,42.2,False
PN-102314,26,FIRE PROTECTION,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,18.0,27,6.75,2.96,77.6,0.9,3.0,4.0,11.0,7.0,27.0,0.037,2.9,42.2,False
PN-102156,32,LANDING GEAR,BOEING,777-300ER,AOG KRİTİK,VAR,Yurtiçi tamir,7.0,9,2.39,1.67,15.6,0.98,2.0,2.0,5.0,3.0,7.0,0.222,3.5,42.2,False
PN-104409,29,HYDRAULIC POWER,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,45.0,8,2.0,0.69,5.3,0.95,2.0,3.0,5.0,3.0,5.0,0.0,0.0,42.2,False
PN-100272,24,ELECTRICAL POWER,BOEING,777-300ER,AOG KRİTİK,VAR,Yurtiçi tamir,9.0,6,1.5,1.67,9.7,0.98,2.0,2.0,4.0,3.0,6.0,0.0,0.0,42.2,False
PN-100064,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A350-900,KRİTİK DEĞİL,YOK,Satınalma,17.0,6,1.5,3.75,21.9,0.9,2.0,2.0,4.0,4.0,10.0,0.0,0.0,42.2,False
PN-104903,71,POWER PLANT,AIRBUS,A330-200,KRİTİK,YOK,Yurtdışı tamir,32.0,11,2.75,1.33,14.4,0.95,2.0,3.0,6.0,4.0,8.0,0.364,5.3,42.1,False
PN-100394,71,POWER PLANT,BOEING,787-9,KRİTİK DEĞİL,YOK,Satınalma,18.0,7,1.2,3.75,17.7,0.9,2.0,2.0,4.0,3.0,8.0,0.0,0.0,42.1,False
PN-100227,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,45.0,10,1.74,0.64,4.3,0.95,2.0,3.0,5.0,3.0,5.0,0.1,0.4,42.1,False
PN-102091,29,HYDRAULIC POWER,AIRBUS,A330-200,KRİTİK,YOK,Yurtdışı tamir,31.0,13,3.25,1.33,16.6,0.95,2.0,4.0,8.0,4.0,9.0,0.385,6.4,42.1,False
PN-100522,25,EQUIPMENT / FURNISHINGS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,21.0,24,6.0,2.96,69.1,0.9,3.0,4.0,10.0,7.0,25.0,0.25,17.3,42.1,False
PN-102174,27,FLIGHT CONTROLS,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,46.0,4,0.74,0.56,1.6,0.95,1.0,3.0,4.0,2.0,3.0,0.25,0.4,42.1,False
PN-103376,35,OXYGEN,AIRBUS,A350-900,KRİTİK,VAR,Yurtiçi tamir,3.0,4,1.1,3.75,16.5,0.95,1.0,2.0,4.0,2.0,7.0,0.0,0.0,42.1,False
PN-102308,29,HYDRAULIC POWER,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,7.0,22,5.5,2.96,63.2,0.95,2.0,3.0,9.0,4.0,20.0,0.045,2.9,42.0,False
PN-103308,21,AIR CONDITIONING,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,40.0,26,6.5,0.64,16.2,0.95,3.0,6.0,13.0,5.0,10.0,0.038,0.6,42.0,False
PN-104424,29,HYDRAULIC POWER,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,40.0,24,6.0,0.69,16.3,0.95,3.0,6.0,12.0,5.0,10.0,0.042,0.7,42.0,False
PN-102622,23,COMMUNICATIONS,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,12.0,17,4.25,2.96,49.6,0.95,3.0,3.0,8.0,5.0,18.0,0.0,0.0,42.0,False
PN-104350,49,AIRBORNE AUXILIARY POWER (APU),BOEING,787-9,KRİTİK DEĞİL,YOK,Satınalma,12.0,9,2.25,3.75,32.7,0.9,2.0,2.0,5.0,4.0,13.0,0.111,3.6,42.0,False
PN-104112,24,ELECTRICAL POWER,AIRBUS,A330-200,AOG KRİTİK,VAR,Yurtiçi tamir,7.0,29,7.25,1.33,38.0,0.98,2.0,3.0,11.0,3.0,13.0,0.0,0.0,42.0,False
PN-102738,34,NAVIGATION,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,32.0,13,3.25,2.96,38.0,0.9,3.0,4.0,8.0,7.0,17.0,0.154,5.8,42.0,False
PN-101290,27,FLIGHT CONTROLS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,50.0,2,1.7,2.59,17.5,0.9,2.0,3.0,5.0,5.0,10.0,0.0,0.0,42.0,False
PN-100112,36,PNEUMATIC,AIRBUS,A330-200,KRİTİK,YOK,Yurtdışı tamir,30.0,14,3.5,1.33,18.3,0.95,3.0,4.0,8.0,5.0,10.0,0.0,0.0,42.0,False
PN-104610,23,COMMUNICATIONS,BOEING,777-F,KRİTİK DEĞİL,YOK,Satınalma,20.0,96,24.0,2.5,236.7,0.9,5.0,9.0,33.0,18.0,78.0,0.146,34.5,42.0,False
PN-100550,73,ENGINE FUEL AND CONTROL,BOEING,777-300ER,KRİTİK,YOK,Satınalma,21.0,11,2.75,1.67,17.6,0.95,2.0,3.0,6.0,4.0,9.0,0.0,0.0,42.0,False
PN-103338,76,ENGINE CONTROLS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,33.0,11,3.06,2.96,35.7,0.9,3.0,4.0,8.0,7.0,16.0,0.091,3.2,42.0,False
PN-101968,74,IGNITION,BOEING,787-9,KRİTİK DEĞİL,YOK,Satınalma,24.0,0,0.0,3.75,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,False
PN-103480,73,ENGINE FUEL AND CONTROL,AIRBUS,A330-200,KRİTİK,YOK,Yurtdışı tamir,35.0,4,0.79,1.33,4.1,0.95,2.0,2.0,3.0,3.0,5.0,0.25,1.0,41.9,False
PN-103322,73,ENGINE FUEL AND CONTROL,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,32.0,68,17.0,0.56,36.6,0.95,3.0,11.0,28.0,7.0,17.0,0.059,2.2,41.9,False
PN-100965,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737-900ER,KRİTİK,YOK,Satınalma,40.0,16,4.0,1.0,15.4,0.95,3.0,5.0,9.0,5.0,9.0,0.0,0.0,41.9,False
PN-102615,56,WINDOWS,BOEING,777-300ER,KRİTİK,YOK,Yurtdışı tamir,27.0,0,0.0,1.67,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,False
PN-100918,27,FLIGHT CONTROLS,AIRBUS,A319-100,KRİTİK,YOK,Yurtdışı tamir,43.0,13,3.25,0.56,7.1,0.95,2.0,5.0,9.0,3.0,5.0,0.077,0.5,41.9,False
PN-102920,29,HYDRAULIC POWER,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,43.0,11,2.75,0.69,7.5,0.95,2.0,4.0,7.0,3.0,5.0,0.0,0.0,41.9,False
PN-100724,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,29.0,71,17.75,0.64,44.6,0.95,4.0,10.0,28.0,8.0,20.0,0.042,1.9,41.9,False
PN-104812,35,OXYGEN,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,42.0,3,0.85,2.96,9.9,0.9,2.0,2.0,3.0,4.0,7.0,0.0,0.0,41.9,True
PN-101531,21,AIR CONDITIONING,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,43.0,11,2.75,0.69,7.6,0.95,2.0,4.0,7.0,3.0,5.0,0.273,2.1,41.9,False
PN-103637,34,NAVIGATION,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,25.0,33,8.25,2.59,83.7,0.9,4.0,5.0,14.0,10.0,31.0,0.061,5.1,41.9,False
PN-101760,31,INDICATING / RECORDING SYSTEMS,BOEING,777-F,KRİTİK DEĞİL,YOK,Satınalma,53.0,6,1.6,2.5,15.4,0.9,2.0,3.0,5.0,5.0,9.0,0.167,2.6,41.9,False
PN-101226,23,COMMUNICATIONS,BOEING,787-9,KRİTİK DEĞİL,YOK,Satınalma,21.0,2,0.5,3.75,7.2,0.9,1.0,2.0,3.0,2.0,4.0,0.5,3.6,41.9,False
PN-100528,77,ENGINE INDICATING,AIRBUS,A350-900,KRİTİK DEĞİL,YOK,Yurtdışı tamir,17.0,7,1.15,3.75,16.9,0.9,2.0,2.0,4.0,3.0,8.0,0.0,0.0,41.8,False
PN-104379,79,OIL,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,44.0,6,1.5,0.64,3.7,0.95,2.0,3.0,5.0,3.0,4.0,0.167,0.6,41.8,False
PN-104524,73,ENGINE FUEL AND CONTROL,AIRBUS,A320-200,KRİTİK,YOK,Yurtdışı tamir,42.0,15,3.75,0.64,9.4,0.95,2.0,5.0,9.0,4.0,7.0,0.133,1.2,41.8,False
PN-101602,74,IGNITION,AIRBUS,A330-300,KRİTİK,YOK,Satınalma,36.0,16,4.0,1.11,17.2,0.95,3.0,5.0,9.0,5.0,10.0,0.062,1.1,41.8,False
PN-101781,29,HYDRAULIC POWER,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,43.0,9,2.25,0.69,6.1,0.95,2.0,4.0,7.0,3.0,5.0,0.0,0.0,41.8,False
PN-102356,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,43.0,2,0.53,2.96,6.3,0.9,2.0,2.0,3.0,3.0,5.0,0.5,3.1,41.8,False
PN-104567,71,POWER PLANT,BOEING,777-F,KRİTİK DEĞİL,YOK,Yurtdışı tamir,19.0,50,12.5,2.5,122.9,0.9,4.0,6.0,19.0,11.0,42.0,0.04,4.9,41.8,False
PN-103285,34,NAVIGATION,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,38.0,36,9.0,0.56,19.4,0.95,3.0,8.0,17.0,6.0,11.0,0.083,1.6,41.8,False
PN-101590,72,ENGINE,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,41.0,19,4.75,0.64,11.9,0.95,2.0,6.0,11.0,4.0,7.0,0.105,1.2,41.8,False
PN-101107,77,ENGINE INDICATING,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,39.0,18,4.5,2.59,45.5,0.9,3.0,4.0,9.0,8.0,20.0,0.167,7.6,41.8,False
PN-102638,24,ELECTRICAL POWER,AIRBUS,A320neo,KRİTİK,VAR,Yurtiçi tamir,9.0,33,8.25,2.59,83.6,0.95,3.0,3.0,12.0,6.0,27.0,0.152,12.7,41.8,False
PN-104981,79,OIL,BOEING,777-300ER,KRİTİK,YOK,Yurtdışı tamir,24.0,5,0.91,1.67,6.1,0.95,2.0,2.0,3.0,3.0,5.0,0.2,1.2,41.7,False
PN-103623,32,LANDING GEAR,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,36.0,35,8.75,0.69,24.0,0.95,3.0,8.0,17.0,6.0,12.0,0.057,1.4,41.7,False
PN-101701,25,EQUIPMENT / FURNISHINGS,BOEING,737-900ER,KRİTİK,YOK,Yurtdışı tamir,44.0,3,0.57,1.0,2.2,0.95,1.0,2.0,3.0,2.0,3.0,0.0,0.0,41.7,False
PN-100459,23,COMMUNICATIONS,BOEING,777-300ER,KRİTİK,YOK,Yurtdışı tamir,21.0,9,2.25,1.67,14.9,0.95,2.0,3.0,6.0,3.0,7.0,0.0,0.0,41.7,False
PN-100529,77,ENGINE INDICATING,AIRBUS,A321-200,KRİTİK,YOK,Yurtdışı tamir,40.0,20,5.0,0.69,13.8,0.95,3.0,6.0,11.0,5.0,9.0,0.1,1.4,41.7,False
PN-100018,74,IGNITION,AIRBUS,A330-300,KRİTİK,YOK,Satınalma,19.0,57,14.25,1.11,61.9,0.95,3.0,6.0,21.0,7.0,23.0,0.07,4.3,41.7,False
PN-103718,56,WINDOWS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Satınalma,16.0,88,22.0,2.59,223.8,0.9,5.0,7.0,29.0,15.0,71.0,0.08,17.8,41.7,False
PN-101160,49,AIRBORNE AUXILIARY POWER (APU),AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,54.0,1,0.42,2.59,4.2,0.9,2.0,2.0,3.0,3.0,5.0,0.0,0.0,41.7,False
PN-104020,24,ELECTRICAL POWER,BOEING,787-9,KRİTİK,VAR,Yurtiçi tamir,5.0,2,0.42,3.75,6.3,0.95,1.0,2.0,3.0,2.0,4.0,0.5,3.2,41.7,False
PN-100611,34,NAVIGATION,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,46.0,10,2.5,2.59,25.6,0.9,3.0,4.0,7.0,7.0,14.0,0.3,7.7,41.7,False
PN-103022,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Satınalma,29.0,15,3.75,2.96,43.5,0.9,3.0,4.0,8.0,7.0,18.0,0.267,11.6,41.7,False
PN-102189,49,AIRBORNE AUXILIARY POWER (APU),BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,41.0,20,5.0,0.56,10.9,0.95,2.0,6.0,11.0,4.0,7.0,0.1,1.1,41.7,False
PN-102876,56,WINDOWS,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,16.0,74,18.5,2.59,186.1,0.9,4.0,7.0,26.0,13.0,60.0,0.149,27.7,41.7,False
PN-101753,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A330-200,KRİTİK,YOK,Yurtdışı tamir,34.0,3,0.57,1.33,3.0,0.95,1.0,2.0,3.0,2.0,3.0,0.0,0.0,41.6,False
PN-100427,73,ENGINE FUEL AND CONTROL,AIRBUS,A330-300,KRİTİK,YOK,Yurtdışı tamir,40.0,5,0.81,1.11,3.7,0.95,2.0,2.0,3.0,3.0,4.0,0.4,1.5,41.6,False
PN-101010,27,FLIGHT CONTROLS,BOEING,777-F,KRİTİK,VAR,Yurtiçi tamir,20.0,24,6.0,2.5,59.0,0.95,3.0,4.0,10.0,7.0,22.0,0.083,4.9,41.6,False
PN-104502,80,STARTING,AIRBUS,A330-300,KRİTİK,YOK,Satınalma,18.0,58,14.5,1.11,63.5,0.95,3.0,6.0,21.0,7.0,23.0,0.052,3.3,41.6,False
PN-100568,52,DOORS,BOEING,737-800,KRİTİK,YOK,Satınalma,38.0,32,8.0,0.56,17.7,0.95,3.0,8.0,16.0,5.0,10.0,0.062,1.1,41.6,False
PN-104076,80,STARTING,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,41.0,3,0.85,2.96,9.7,0.9,2.0,2.0,3.0,4.0,7.0,0.0,0.0,41.6,True
PN-102847,31,INDICATING / RECORDING SYSTEMS,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,42.0,14,2.97,0.56,6.4,0.95,2.0,4.0,7.0,3.0,5.0,0.143,0.9,41.6,False
PN-101658,74,IGNITION,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,42.0,3,0.65,2.96,7.4,0.9,2.0,2.0,3.0,3.0,5.0,0.0,0.0,41.6,False
PN-102370,22,AUTO FLIGHT,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,38.0,4,1.57,2.96,18.2,0.9,2.0,3.0,5.0,4.0,9.0,0.25,4.5,41.6,False
PN-100691,73,ENGINE FUEL AND CONTROL,AIRBUS,A319-100,KRİTİK,YOK,Yurtdışı tamir,42.0,13,3.25,0.56,7.0,0.95,2.0,5.0,9.0,3.0,5.0,0.077,0.5,41.6,False
PN-102280,72,ENGINE,AIRBUS,A321-200,KRİTİK,YOK,Satınalma,37.0,29,7.25,0.69,19.5,0.95,3.0,6.0,14.0,5.0,10.0,0.0,0.0,41.5,False
PN-104611,29,HYDRAULIC POWER,AIRBUS,A330-300,KRİTİK,YOK,Yurtdışı tamir,37.0,10,2.5,1.11,11.0,0.95,2.0,4.0,7.0,4.0,7.0,0.0,0.0,41.5,False
PN-101974,36,PNEUMATIC,AIRBUS,A330-200,KRİTİK,YOK,Satınalma,26.0,18,4.5,1.33,23.9,0.95,3.0,4.0,9.0,5.0,11.0,0.056,1.3,41.5,False
PN-103600,32,LANDING GEAR,AIRBUS,A330-300,KRİTİK,YOK,Satınalma,39.0,5,1.25,1.11,5.3,0.95,2.0,3.0,5.0,3.0,5.0,0.4,2.1,41.5,False
PN-103505,77,ENGINE INDICATING,AIRBUS,A330-200,KRİTİK,YOK,Satınalma,28.0,14,3.5,1.33,18.2,0.95,2.0,4.0,8.0,4.0,9.0,0.429,7.8,41.5,False
PN-101028,36,PNEUMATIC,BOEING,737 MAX 8,KRİTİK DEĞİL,YOK,Satınalma,14.0,5,1.25,3.81,18.3,0.9,2.0,2.0,4.0,3.0,8.0,0.0,0.0,41.5,False
PN-101373,31,INDICATING / RECORDING SYSTEMS,AIRBUS,A320-200,KRİTİK,YOK,Satınalma,43.0,4,1.03,0.64,2.6,0.95,1.0,3.0,5.0,2.0,3.0,0.0,0.0,41.5,False
PN-100435,24,ELECTRICAL POWER,AIRBUS,A321neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,29.0,14,3.5,2.96,40.6,0.9,3.0,4.0,8.0,7.0,18.0,0.0,0.0,41.5,False
PN-100337,29,HYDRAULIC POWER,AIRBUS,A320neo,KRİTİK DEĞİL,YOK,Yurtdışı tamir,38.0,18,4.5,2.59,45.0,0.9,3.0,4.0,9.0,8.0,20.0,0.056,2.5,41.5,False
PN-101620,27,FLIGHT CONTROLS,BOEING,777-F,KRİTİK DEĞİL,YOK,Satınalma,22.0,39,9.75,2.5,95.0,0.9,4.0,5.0,15.0,10.0,34.0,0.077,7.3,41.5,False
PN-100535,24,ELECTRICAL POWER,BOEING,737-800,KRİTİK,YOK,Yurtdışı tamir,38.0,30,7.5,0.56,16.3,0.95,3.0,7.0,15.0,5.0,10.0,0.033,0.5,41.5,False
PN-103264,35,OXYGEN,AIRBUS,A321neo,KRİTİK,VAR,Yurtiçi tamir,18.0,10,2.5,2.96,28.4,0.95,2.0,3.0,6.0,4.0,12.0,0.0,0.0,41.5,False
PN-100917,73,ENGINE FUEL AND CONTROL,BOEING,737-900ER,KRİTİK,YOK,Satınalma,39.0,14,3.5,1.0,13.5,0.95,2.0,5.0,9.0,4.0,8.0,0.0,0.0,41.5,False
PN-102944,74,IGNITION,BOEING,787-9,KRİTİK DEĞİL,YOK,Satınalma,12.0,7,1.75,3.75,26.5,0.9,2.0,2.0,4.0,3.0,10.0,0.0,0.0,41.4,False
